,Age,Employment_Type,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Loan_Purpose,Debt_to_Income_Ratio,Loan_Status
584,36,0,80000,710,24000,60,0,0.25,1
585,46,1,40000,575,22000,60,0,0.61,0
586,62,1,95000,765,30000,84,0,0.23,1
587,63,0,110000,770,95000,108,3,0.14,1
588,66,0,90000,765,24000,96,5,0.21,1
589,35,1,58000,610,15000,48,1,0.48,0
590,25,3,3000,510,500,12,4,0.68,0
591,42,0,102000,780,40800,96,3,0.19,1
592,67,0,85000,720,40000,84,5,0.34,1
593,49,0,115000,800,85000,120,3,0.19,1
594,22,3,0,400,600,12,5,0.79,0
595,66,0,135000,820,110000,120,3,0.13,1
596,43,1,110000,760,20000,24,4,0.15,1
597,38,0,130000,800,85000,120,3,0.14,1
598,38,1,140000,790,110000,120,3,0.25,1
599,21,2,2000,610,4000,24,2,0.05,0
600,47,1,60000,650,45000,72,5,0.51,0
601,68,0,65000,700,20000,48,5,0.32,1
602,34,2,15000,620,6000,24,4,0.4,1
603,30,0,52000,670,20000,48,1,0.35,1
604,35,1,78000,690,25000,48,1,0.34,1
605,30,3,7000,530,1500,12,4,0.6,0
606,40,0,95000,720,22000,36,4,0.21,1
607,38,0,72000,705,18000,48,1,0.33,1
608,25,2,8000,580,3000,36,2,0.45,0
609,33,2,20000,650,5000,36,2,0.38,1
610,67,3,5000,470,2000,18,5,0.7,0
611,60,0,42000,540,18000,36,4,0.64,0
612,48,0,85000,730,28000,48,1,0.26,1
613,35,1,48000,660,15000,48,3,0.37,1
614,23,2,2000,490,1500,12,5,0.1,1
615,53,0,105000,770,52500,72,3,0.27,1
616,33,0,48000,620,15000,48,2,0.42,0
617,49,0,105000,720,40000,72,5,0.27,1
618,29,2,15000,610,7000,36,2,0.27,1
619,23,2,8000,550,4000,36,2,0.28,0
620,27,0,47000,645,13000,36,4,0.46,0
621,27,0,60000,700,12000,36,1,0.29,1
622,41,1,63000,690,18900,48,4,0.39,1
623,22,2,8000,550,2500,12,5,0.58,0
624,44,0,86000,700,25000,84,1,0.33,1
625,27,3,10000,520,3000,36,5,0.55,0
626,26,0,42000,620,20000,60,1,0.51,0
627,32,1,58000,590,40000,60,0,0.63,0
628,47,1,65000,630,28000,72,1,0.52,0
629,31,0,55000,630,20000,48,2,0.38,1
630,61,1,135000,740,30000,48,1,0.22,1
631,20,2,15000,600,7000,36,2,0.26,1
632,39,1,60000,630,18000,36,5,0.4,1
633,48,0,95000,720,28000,48,2,0.24,1
634,25,2,4000,470,2500,12,5,0.67,0
635,33,1,170000,760,34000,110,3,0.16,1
636,22,2,5000,500,800,12,5,0.1,0
637,41,1,95000,710,45000,72,0,0.33,1
638,67,0,165000,820,135000,120,3,0.06,1
639,24,2,20000,620,12000,48,2,0.49,0
640,68,3,0,490,5000,24,5,0.8,0
641,22,2,10000,570,5000,24,2,0.33,0
642,28,3,5000,570,3000,12,4,0.7,0
643,47,0,120000,790,60000,84,2,0.19,1
644,24,3,0,520,5000,12,5,0.0,0
645,34,0,60000,690,35000,48,1,0.55,0
646,31,0,110000,810,40000,60,0,0.15,1
647,51,1,160000,805,85000,120,0,0.17,1
648,50,1,120000,780,45000,72,0,0.19,1
649,59,0,115000,785,42000,96,1,0.2,1
650,41,1,75000,660,30000,72,1,0.39,0
651,27,2,15000,600,6000,24,2,0.33,0
652,44,1,68000,700,20000,48,0,0.37,1
653,22,3,0,505,6000,24,4,0.78,0
654,22,2,12000,580,7000,36,2,0.4,1
655,25,2,0,380,500,12,2,0.05,0
656,59,0,118000,785,45000,96,1,0.18,1
657,64,1,130000,790,65000,96,3,0.18,1
658,45,0,88000,740,25000,72,5,0.25,1
659,27,0,48000,660,15000,60,4,0.42,0
660,39,0,90000,780,40000,72,1,0.22,1
661,61,3,15000,600,6000,36,4,0.65,0
662,60,0,90000,760,20000,36,4,0.21,1
663,42,0,73000,710,20000,60,1,0.29,1
664,20,2,0,600,15000,120,2,0.8,0
665,50,1,95100,705,50000,84,3,0.28,1
666,38,1,75000,670,25000,48,0,0.3,1
667,29,1,38000,590,15000,48,5,0.45,0
668,50,1,35000,590,15000,36,5,0.6,0
669,48,0,88000,740,26000,72,5,0.25,1
670,43,0,62000,640,15000,36,5,0.39,1
671,31,3,8000,520,5000,24,4,0.7,0
672,40,1,70000,700,20000,60,3,0.3,1
673,68,0,130000,800,150000,120,0,0.15,1
674,31,0,105000,695,55000,60,3,0.37,1
675,33,1,40000,620,10000,36,0,0.45,1
676,26,2,14000,615,4500,30,5,0.41,0
677,62,3,5000,480,2000,24,4,0.68,0
678,57,0,98000,710,28000,48,3,0.34,1
679,61,0,165000,840,140000,120,3,0.12,1
680,21,2,12000,610,10000,60,2,0.55,0
681,23,3,0,490,500,12,5,0.8,0
682,32,3,6000,500,1000,24,5,0.58,0
683,51,1,110000,780,55000,72,0,0.17,1
684,29,1,200000,790,100000,120,0,0.25,1
685,50,0,80000,720,40000,72,5,0.25,1
686,32,0,95000,750,22000,48,1,0.24,1
687,50,3,0,520,3000,12,5,0.0,0
688,40,1,70000,700,20000,72,4,0.33,1
689,31,2,25000,640,6000,72,4,0.3,1
690,35,0,60000,680,14000,36,4,0.33,1
691,47,0,82000,730,18000,72,1,0.27,1
692,47,1,80000,730,25000,60,0,0.27,1
693,27,0,75000,710,18000,36,1,0.24,1
694,22,2,11000,605,5000,36,2,0.48,0
695,32,1,62000,610,15000,48,0,0.42,0
696,52,3,0,300,500,12,5,0.8,0
697,52,0,135000,760,40000,60,1,0.23,1
698,21,2,2000,550,8000,60,5,0.5,0
699,22,3,500,450,2000,12,5,0.79,0
700,65,1,150000,810,100000,120,3,0.15,1
701,40,0,125000,755,75000,96,1,0.29,1
702,66,0,145000,825,78000,120,3,0.17,1
703,37,0,50000,630,15000,48,4,0.45,1
704,57,3,6000,450,1000,12,4,0.7,0
705,31,1,62300,670,30000,60,3,0.42,0
706,61,1,60000,550,15000,72,4,0.55,0
707,29,0,48000,645,15000,48,5,0.45,0
708,68,0,130000,830,90000,120,3,0.12,1
709,61,0,125000,800,65000,120,3,0.18,1
710,48,1,75000,690,30000,60,1,0.27,1
711,20,2,35000,680,18000,60,2,0.29,1
712,35,1,55000,690,15000,60,1,0.3,1
713,29,0,56677,654,12759,96,1,0.38,0
714,61,0,110000,800,90000,84,1,0.18,1
715,24,2,10000,540,2500,18,2,0.62,0
716,32,1,160000,800,55000,84,0,0.17,1
717,33,1,68000,700,17000,48,0,0.38,0
718,27,2,12000,610,2500,24,2,0.16,1
719,44,1,180000,760,60000,60,0,0.31,1
720,49,0,90000,770,55000,84,1,0.25,1
721,61,0,98835,699,19767,118,2,0.29,1
722,21,3,3000,400,1000,12,4,0.78,0
723,20,3,0,495,7000,36,4,0.78,0
724,29,0,52000,670,12000,36,1,0.38,0
725,60,0,114000,785,41000,96,1,0.2,1
726,37,1,90000,730,25000,84,3,0.26,1
727,37,0,70000,640,35000,60,1,0.48,0
728,57,1,180000,820,90000,120,0,0.16,1
729,43,1,70000,590,45000,84,0,0.68,0
730,52,1,25000,480,10000,24,0,0.78,0
731,37,1,82000,705,40000,72,0,0.49,0
732,29,2,20000,630,7000,36,2,0.4,1
733,36,1,55000,685,20000,60,0,0.32,1
734,26,2,8500,605,6000,24,2,0.59,0
735,23,2,8000,450,1500,18,2,0.62,0
736,52,0,110000,790,60000,96,1,0.21,1
737,35,0,70000,730,15000,36,1,0.26,1
738,50,0,100000,750,30000,72,5,0.25,1
739,39,1,95000,740,25000,60,0,0.29,1
740,39,0,55000,560,22000,48,1,0.52,0
741,31,0,58000,630,22000,48,1,0.43,0
742,35,0,78000,690,28000,48,5,0.34,1
743,26,0,58630,735,12000,60,3,0.22,1
744,51,0,105000,770,100000,96,3,0.2,1
745,65,0,70000,700,25000,60,5,0.38,1
746,40,0,85000,690,20000,48,1,0.34,1
747,62,1,96000,765,33000,84,0,0.22,1
748,51,1,110000,750,40000,72,0,0.27,1
749,24,2,19000,620,7500,24,2,0.33,1
750,34,3,5000,500,4000,24,4,0.7,0
751,24,2,10000,570,4000,18,5,0.4,0
752,29,2,6000,610,3500,30,2,0.19,1
753,28,2,2000,500,1000,12,5,0.65,0
754,24,2,1523,439,7615,60,4,0.78,0
755,35,0,50000,590,30000,60,5,0.5,0
756,59,3,7000,500,4000,24,5,0.6,0
757,61,0,105000,750,22000,36,3,0.21,1
758,50,1,130000,760,40000,72,0,0.24,1
759,55,0,78000,700,40000,84,1,0.38,1
760,37,3,2000,450,300,12,4,0.75,0
761,23,2,8000,550,3000,12,4,0.45,0
762,33,0,98000,750,29400,72,3,0.25,1
763,30,1,45000,570,25000,48,0,0.52,0
764,62,0,65000,640,15000,24,4,0.45,0
765,38,1,70000,710,19000,60,3,0.31,1
766,36,1,71000,705,19000,60,0,0.32,1
767,39,3,10000,480,2500,12,5,0.7,0
768,63,3,0,300,0,12,5,0.0,0
769,21,2,10000,620,3000,24,2,0.35,1
770,23,2,25000,660,8000,36,2,0.32,1
771,27,1,48000,630,35000,60,0,0.47,0
772,47,0,85000,720,40000,72,3,0.27,1
773,60,0,108000,785,40000,96,3,0.19,1
774,26,2,12000,580,5000,12,1,0.5,0
775,37,1,75000,700,22000,48,3,0.29,1
776,38,0,62000,580,30000,36,5,0.55,0
777,56,0,105000,775,35000,84,4,0.21,1
778,48,0,95000,750,30000,72,1,0.28,1
779,48,1,83000,735,25000,72,0,0.27,1
780,21,2,18000,690,10000,60,2,0.4,0
781,57,0,115000,790,90000,108,1,0.16,1
782,49,0,92000,740,32000,84,3,0.2,1
783,43,1,75000,700,35000,72,1,0.28,1
784,20,3,0,300,500,12,5,0.0,0
785,39,1,77000,580,50000,72,1,0.65,0
786,57,1,190000,830,95000,110,0,0.12,1
787,45,1,78000,730,21000,48,3,0.28,1
788,60,3,1000,450,1500,12,4,0.7,0
789,49,1,115000,770,80000,96,3,0.24,1
790,20,2,0,520,1200,12,2,0.29,0
791,42,1,50000,620,20000,48,5,0.46,0
792,29,2,12000,580,5000,24,2,0.35,0
793,41,0,70000,705,20000,60,1,0.3,1
794,30,1,40000,600,25000,60,0,0.62,0
795,67,0,145000,815,75000,120,3,0.15,1
796,32,0,58000,675,15000,36,5,0.37,0
797,66,1,195000,800,97500,120,5,0.09,1
798,24,2,12000,605,8000,24,2,0.51,0
799,36,0,50000,640,10000,36,3,0.48,0
800,44,0,98000,730,30000,60,0,0.22,1
801,22,2,980,480,1100,12,5,0.11,1
802,56,0,105000,805,25000,36,3,0.16,1
803,49,1,110000,770,50000,96,3,0.2,1
804,39,1,60000,670,30000,60,0,0.51,0
805,44,1,190000,830,95000,120,0,0.14,1
806,43,0,65000,610,30000,48,0,0.5,0
807,22,2,15000,650,10000,72,2,0.72,0
808,35,1,40000,590,8000,36,0,0.5,0
809,22,2,15000,640,18000,120,2,0.33,0
810,26,0,72000,710,10000,24,3,0.24,1
811,62,0,140000,820,70000,120,3,0.08,1
812,63,1,70000,660,35000,48,5,0.42,0
813,47,0,100000,765,50000,84,3,0.2,1
814,25,2,9000,570,1800,24,5,0.41,0
815,27,2,12000,610,5000,30,2,0.5,0
816,42,3,0,380,1200,12,5,0.8,0
817,52,1,90000,760,28000,72,3,0.23,1
819,35,0,78000,720,22000,60,1,0.31,1
820,68,0,135000,805,67500,96,1,0.18,1
821,31,2,20000,680,15000,36,2,0.38,0
822,54,1,180000,785,150000,120,0,0.44,0
823,58,1,95000,760,50000,84,3,0.22,1
824,26,3,0,480,5000,36,5,0.8,0
825,63,2,18000,600,5400,36,2,0.4,1
826,51,2,1800,380,1000,12,5,0.7,0
827,25,2,12000,610,3000,24,2,0.15,1
828,57,0,100000,760,70000,96,3,0.14,1
829,29,0,65000,710,10000,24,1,0.18,1
830,36,0,65000,680,21000,60,0,0.32,1
831,63,1,70000,630,50000,84,5,0.51,0
832,23,3,5000,480,1000,12,5,0.65,0
833,21,2,18000,670,12000,60,2,0.61,0
834,31,1,75000,680,40000,84,0,0.48,0
835,38,1,140000,800,90000,96,0,0.16,1
836,38,2,18546,478,92730,85,5,0.72,0
837,41,1,30000,520,5000,24,0,0.7,0
838,35,2,5000,600,1500,18,2,0.2,1
839,31,0,80000,740,30000,60,1,0.25,1
840,35,0,49000,685,32000,60,1,0.47,0
841,24,0,42000,680,8000,24,4,0.33,1
842,52,0,80000,730,40000,60,1,0.26,1
843,60,0,125000,795,15000,12,3,0.14,1
844,33,0,48000,660,25000,48,1,0.48,0
845,42,1,80000,750,30000,60,0,0.28,1
846,50,0,120000,750,70000,96,3,0.18,1
847,23,2,7200,600,5000,24,2,0.62,0
848,43,3,2500,450,70000,48,5,0.6,0
849,68,3,7000,380,3000,36,1,0.6,0
850,59,0,125000,790,25000,36,3,0.2,1
851,49,0,89849,743,30356,84,2,0.21,1
852,65,1,42000,610,20000,48,4,0.58,0
853,39,3,1000,340,1000,12,5,0.8,0
854,28,0,50000,660,12000,48,2,0.38,0
855,31,2,15000,590,4000,24,5,0.49,0
856,24,2,12000,600,6000,24,2,0.2,1
858,35,0,62000,700,20000,60,2,0.2,1
859,53,3,8000,550,3000,24,4,0.45,0
860,44,0,90000,765,28000,84,1,0.22,1
861,61,3,6000,500,2500,12,4,0.72,0
862,53,1,160000,800,75000,96,3,0.19,1
863,57,0,120000,790,60000,72,3,0.25,1
864,45,0,95000,780,25000,48,1,0.22,1
865,37,1,50000,670,25000,60,1,0.36,1
866,29,2,20000,620,5000,24,2,0.42,1
867,58,3,8000,480,2000,24,4,0.55,0
868,28,2,15000,600,7000,36,2,0.46,0
869,21,2,8000,590,500,12,2,0.25,1
870,46,0,60000,640,50000,72,1,0.61,0
871,52,0,80000,650,30000,72,1,0.4,1
872,35,3,0,440,1600,12,5,0.79,0
873,41,0,65000,690,20000,48,4,0.3,1
874,35,3,2000,380,10000,30,4,0.74,0
875,31,3,2500,410,1000,12,5,0.72,0
876,40,0,85000,730,55000,96,3,0.2,1
877,39,0,70000,680,48000,72,4,0.3,1
878,26,0,55000,670,12000,36,5,0.35,1
879,53,0,96000,755,29000,72,4,0.24,1
880,31,0,78000,715,20000,36,5,0.28,1
881,43,3,0,310,100000,36,5,0.8,0
882,60,3,12000,560,11000,36,4,0.72,0
883,30,2,10000,560,3000,24,2,0.53,0
884,63,0,95000,750,20000,36,3,0.28,1
885,47,1,75000,690,30000,60,0,0.31,1
886,37,0,65000,680,12000,36,4,0.29,1
887,33,0,85000,740,25000,48,4,0.24,1
888,25,2,5000,650,7000,36,2,0.58,0
889,36,0,67000,700,17000,48,2,0.35,1
890,24,2,18000,600,10000,36,2,0.48,0
891,47,1,100000,720,25000,60,5,0.3,1
892,63,0,140000,810,28000,50,3,0.09,1
893,26,2,4000,590,1500,12,2,0.29,1
894,31,3,12000,520,15000,36,4,0.7,0
895,28,2,6000,570,2500,18,2,0.58,0
896,40,0,105000,755,35000,60,3,0.28,1
897,32,1,120000,810,50000,60,0,0.15,1
898,52,1,85000,580,50000,84,5,0.68,0
899,27,2,10000,580,12000,60,2,0.53,0
900,29,0,68000,720,15000,36,3,0.29,1
901,23,2,10000,560,4000,12,4,0.59,0
902,44,0,88000,750,35000,72,3,0.26,1
903,21,2,18000,670,4000,30,2,0.25,1
904,24,3,8000,520,6000,36,5,0.68,0
905,29,0,63000,690,20000,48,5,0.33,1
906,22,2,12000,610,3000,36,2,0.4,0
907,36,1,45000,660,15000,48,0,0.55,0
908,24,2,30000,650,8000,36,2,0.36,1
909,33,1,58000,620,28000,60,5,0.53,0
910,58,0,130000,800,100000,120,3,0.17,1
911,42,0,115000,730,40000,72,3,0.23,1
912,39,0,72300,710,20000,60,5,0.29,1
913,48,1,90000,740,35000,60,0,0.27,1
914,35,0,60000,670,25000,48,4,0.35,1
915,25,2,7000,500,3000,24,4,0.6,0
916,45,1,120000,810,75000,84,0,0.15,1
917,39,0,100000,750,30000,72,0,0.24,1
918,50,0,95000,760,80000,120,3,0.65,0
919,25,0,45000,635,22000,60,1,0.49,0
920,26,2,18000,605,10000,60,2,0.44,0
921,24,2,18000,600,7000,24,2,0.58,0
922,45,0,88000,710,40000,60,5,0.27,1
923,46,0,65000,690,25000,60,1,0.31,1
924,41,1,75000,710,20000,48,5,0.34,0
925,33,0,65000,670,20000,48,3,0.41,0
926,25,2,20000,660,8000,36,2,0.26,1
927,52,1,140000,780,90000,108,0,0.17,1
928,46,0,108000,760,38000,96,3,0.24,1
929,26,0,60000,710,10000,12,4,0.19,1
930,23,2,3000,490,1000,12,5,0.6,0
931,28,1,42000,580,15000,60,0,0.65,0
932,61,0,80000,700,25000,48,1,0.33,1
933,49,0,92000,755,28000,72,1,0.24,1
934,27,2,15359,620,3000,36,2,0.45,1
935,41,0,82600,730,24800,72,3,0.26,1
936,49,3,20000,630,8000,36,5,0.4,0
937,61,1,145892,790,43767,84,0,0.15,1
938,22,2,12450,580,18390,48,2,0.15,1
939,50,0,100000,770,50000,120,1,0.2,1
940,22,2,10000,640,4000,24,2,0.25,1
941,43,0,85000,730,22000,48,4,0.27,1
942,34,3,10000,540,7000,36,5,0.65,0
944,48,1,38000,570,30000,48,0,0.62,0
945,40,0,140000,830,55000,84,3,0.16,1
946,54,1,115000,795,58000,120,1,0.19,1
947,37,0,75000,700,20000,36,5,0.26,1
948,20,3,1000,380,500,12,5,0.75,0
949,42,0,120000,760,70000,96,3,0.28,1
950,55,1,175000,810,120000,120,0,0.12,1
951,33,1,42000,620,28000,60,0,0.59,0
952,39,1,65000,690,20000,48,0,0.33,1
953,22,2,15000,580,3000,36,2,0.45,0
954,41,0,88000,740,42000,60,1,0.26,1
955,62,0,95000,700,19000,78,0,0.28,1
956,46,1,70000,690,25000,84,0,0.41,0
957,58,0,145100,810,120000,120,3,0.21,1
958,51,1,190000,780,55000,72,0,0.29,1
960,55,0,102000,770,32000,96,1,0.21,1
961,59,0,89000,770,22000,36,3,0.26,1
962,30,1,52000,660,40000,60,0,0.43,0
963,54,1,87000,765,25000,60,0,0.24,1
964,66,0,55000,640,20000,48,1,0.6,0
965,33,1,85000,660,30000,60,5,0.33,1
966,27,2,10000,590,4000,24,2,0.52,0
967,58,3,5000,430,10000,24,5,0.69,0
968,25,2,10000,580,5000,36,2,0.32,1
969,46,0,92000,685,48000,60,3,0.38,1
970,21,2,20000,630,8000,48,2,0.3,1
971,36,0,66000,700,18000,48,2,0.34,1
972,27,1,51000,640,20000,60,0,0.42,0
973,35,0,80000,670,17000,36,4,0.36,1
974,30,0,60000,650,18000,48,1,0.4,0
975,34,0,72000,710,20000,48,3,0.28,1
976,25,3,1000,400,2000,24,5,0.8,0
977,30,0,50000,650,20000,60,1,0.38,0
978,23,2,4500,490,12000,36,5,0.55,0
979,59,0,140000,800,70000,120,5,0.17,1
980,21,2,9000,570,4000,12,5,0.63,0
981,32,1,35000,590,10000,24,1,0.47,0
982,41,1,115450,780,55000,84,0,0.31,1
983,39,2,22000,690,12000,36,2,0.29,1
984,54,0,88000,760,32000,60,1,0.26,1
985,39,1,115000,730,40000,60,0,0.34,1
986,46,1,75000,680,25000,60,0,0.39,0
987,68,1,75000,710,28000,60,3,0.31,1
988,68,0,130000,820,25000,36,1,0.22,1
989,65,1,180000,800,80000,120,0,0.19,1
990,32,1,40000,620,12000,36,3,0.48,0
991,26,2,19000,650,6000,36,2,0.27,1
992,37,0,130000,770,30000,36,1,0.19,1
993,49,0,95000,740,40000,72,1,0.35,1
994,69,0,125000,820,25000,72,0,0.07,1
995,21,2,5000,620,8000,36,2,0.4,0
996,35,2,10000,550,3000,24,5,0.61,0
997,43,0,90000,730,25000,60,3,0.28,1
998,29,0,55000,640,10000,36,1,0.41,0
999,58,0,78000,670,35000,48,1,0.48,0
1000,26,3,6000,570,5000,24,5,0.58,0
1001,63,0,98000,760,30000,84,3,0.23,1
1002,26,2,5000,500,2000,24,4,0.45,0
1003,34,0,68000,690,18000,48,3,0.29,1
1004,29,3,3000,380,800,12,5,0.72,0
1005,53,0,125000,795,45000,60,1,0.24,1
1006,24,2,8000,610,3000,24,2,0.2,1
1007,30,1,45678,615,30000,60,1,0.52,0
1008,59,0,109000,780,37000,96,3,0.21,1
1009,37,0,90000,740,28000,84,3,0.25,1
1010,44,3,2000,460,1000,36,4,0.7,0
1011,42,0,105000,720,30000,48,3,0.33,1
1012,63,1,90000,735,30000,84,0,0.29,1
1013,42,0,125000,800,30000,36,3,0.24,1
1014,28,3,0,300,500,12,5,0.8,0
1015,29,0,78000,710,15000,24,3,0.28,1
1016,33,0,78000,690,18000,36,3,0.3,1
1017,48,0,94000,630,40000,48,4,0.51,0
1018,59,0,115000,785,42000,96,1,0.19,1
1019,23,2,8000,580,2000,12,2,0.8,0
1020,40,0,58000,730,30000,48,3,0.41,0
1021,46,1,50000,660,15000,48,4,0.45,1
1022,65,0,55000,600,15000,36,4,0.47,0
1023,53,0,79000,715,10000,24,5,0.19,1
1024,37,3,5000,480,1000,12,4,0.72,0
1025,39,1,130000,785,60000,84,0,0.3,1
1026,65,0,170000,820,105000,120,0,0.21,1
1027,30,0,70000,670,20000,48,3,0.3,1
1028,28,0,51000,710,20000,48,4,0.37,1
1029,25,2,25000,650,12000,36,2,0.25,1
1030,45,3,5000,490,1200,12,4,0.67,0
1031,45,1,150000,720,50000,60,0,0.28,1
1032,52,0,120000,770,70000,96,3,0.23,1
1033,43,0,110000,770,33000,36,5,0.27,1
1034,41,0,95000,720,22000,36,3,0.31,1
1035,42,0,90000,750,30000,60,1,0.22,1
1036,60,0,95000,680,60000,96,1,0.45,1
1037,41,1,180000,810,150000,120,0,0.28,1
1038,26,2,7000,520,3000,24,5,0.63,0
1039,30,3,2000,390,900,12,4,0.73,0
1040,49,0,155000,790,40000,72,1,0.18,1
1041,46,3,10000,570,4000,36,5,0.65,0
1042,40,0,55000,680,15000,48,1,0.38,0
1043,40,0,115000,790,55000,96,1,0.17,1
1044,26,3,0,390,0,12,5,0.79,0
1045,27,0,42000,660,9000,24,5,0.23,1
1046,66,0,70000,680,30000,72,1,0.39,1
1047,41,0,95000,760,35000,72,1,0.23,1
1048,52,1,90000,730,40000,72,1,0.29,1
1049,29,2,25000,630,7500,48,2,0.35,1
1050,62,1,90000,630,50000,72,3,0.59,0
1051,30,1,41235,530,17500,36,0,0.61,0
1052,23,2,7000,560,2000,18,5,0.52,0
1053,20,3,500,300,500,12,5,0.79,0
1054,40,0,71000,700,19000,48,5,0.34,1
1055,59,1,190000,840,160000,120,3,0.07,1
1056,32,0,50000,640,20000,48,1,0.42,0
1057,50,0,80000,680,22000,84,1,0.29,1
1058,22,2,18000,650,10000,60,2,0.3,0
1059,48,0,125000,790,62500,120,1,0.2,1
1060,61,0,160000,690,90000,120,1,0.6,0
1061,38,3,5000,480,3000,24,4,0.65,0
1062,44,1,98000,730,45000,84,0,0.38,1
1063,44,0,110000,760,50000,108,3,0.25,1
1064,57,0,95000,745,47000,72,1,0.23,1
1065,48,0,105000,780,85000,96,1,0.18,1
1066,31,0,48000,670,9000,48,1,0.33,1
1067,43,0,95000,710,32000,72,1,0.32,1
1068,33,0,64000,695,16000,48,4,0.35,0
1069,28,0,98765,710,50000,60,1,0.38,1
1070,43,1,160000,720,75000,84,0,0.46,0
1071,45,1,110000,740,40000,72,3,0.24,1
1072,61,1,65000,670,35000,60,5,0.41,0
1073,66,1,165780,810,105150,96,0,0.25,1
1074,60,0,49000,655,12500,36,4,0.38,0
1075,30,3,2000,485,800,12,4,0.74,0
1077,35,0,60000,625,30000,72,3,0.5,0
1078,47,0,50000,660,10000,24,1,0.44,1
1079,45,1,75000,710,20000,48,3,0.32,0
1080,38,0,58000,660,13000,36,5,0.36,1
1081,20,2,0,520,700,12,2,0.59,0
1082,25,0,55000,690,12000,36,2,0.2,1
1083,50,1,105000,770,42000,96,0,0.24,1
1084,27,0,62000,725,10000,36,2,0.15,1
1085,55,0,110000,760,30000,48,3,0.24,1
1086,37,0,70000,680,18000,48,1,0.3,1
1087,31,0,88000,740,20000,36,1,0.29,1
1088,53,0,78000,730,22000,48,3,0.29,1
1089,65,3,0,300,1000,12,4,0.8,0
1090,41,0,79000,730,12000,24,4,0.19,1
1091,53,0,140000,800,30000,48,5,0.21,1
1092,54,0,92000,780,42000,84,3,0.2,1
1093,30,0,55000,620,18000,60,4,0.48,0
1094,35,1,88000,720,32000,60,1,0.37,1
1095,46,0,140000,840,75000,120,3,0.13,1
1096,51,0,125000,750,15000,12,4,0.12,1
1097,55,0,210000,820,60000,120,3,0.26,1
1098,31,0,55000,670,15000,36,1,0.37,0
1099,35,0,112450,810,33735,60,1,0.1,1
1100,22,2,15000,680,10000,84,2,0.15,1
1101,62,1,97000,765,34000,84,0,0.22,1
1102,45,0,65000,680,19500,60,4,0.3,1
1103,40,1,70000,710,25000,60,3,0.27,1
1104,55,0,98000,690,40000,84,5,0.42,1
1105,28,1,45000,620,15000,48,0,0.45,0
1106,29,1,45000,600,12000,48,5,0.52,0
1107,61,0,92000,780,65000,72,3,0.29,1
1108,39,1,80000,690,23000,60,3,0.27,1
1109,26,2,18000,650,5000,24,5,0.1,1
1110,56,1,55000,650,12000,36,0,0.39,0
1111,66,0,55000,560,18000,36,5,0.62,0
1112,26,0,50000,670,15000,36,4,0.39,1
1113,21,2,12000,580,2500,36,5,0.38,0
1114,24,2,22000,640,8000,84,2,0.38,0
1115,58,0,120000,810,50000,120,0,0.18,1
1116,41,0,108200,780,25000,48,1,0.18,1
1117,51,0,78900,720,23700,60,4,0.27,1
1118,28,3,8500,550,10000,24,4,0.65,0
1119,64,1,100000,760,8000,24,0,0.07,1
1120,39,0,98000,770,40000,72,1,0.23,1
1121,43,1,250000,830,100000,120,0,0.25,1
1122,48,0,105000,740,50000,72,1,0.23,1
1123,48,0,78913,762,35438,84,3,0.22,1
1124,26,0,42000,620,25000,48,5,0.55,0
1125,26,1,53000,615,35000,60,0,0.62,0
1126,26,3,8000,490,10000,36,4,0.75,0
1127,53,0,118000,790,59000,120,0,0.15,1
1128,41,0,78911,765,15000,60,1,0.21,1
1129,56,3,10000,610,4000,24,5,0.6,0
1130,28,2,15000,610,3000,24,2,0.15,1
1131,34,0,55000,650,15000,36,1,0.42,0
1132,46,0,105000,770,52500,84,3,0.22,1
1133,30,0,55000,680,25000,48,4,0.38,1
1134,48,0,88000,745,26000,72,5,0.26,1
1135,31,0,38000,560,20000,36,1,0.59,0
1136,64,0,135000,815,70000,120,1,0.16,1
1137,50,1,140000,785,55000,72,3,0.32,1
1138,29,2,5000,500,1000,18,2,0.65,0
1139,22,3,200,400,1000,12,4,0.73,0
1140,27,1,38000,595,19000,60,1,0.63,0
1141,41,0,72000,705,20000,60,1,0.29,1
1142,47,1,79000,725,22000,60,0,0.29,1
1143,35,1,64000,690,15000,48,0,0.41,0
1144,56,1,140000,800,80000,96,0,0.17,1
1145,49,0,88000,740,22000,72,2,0.23,1
1146,28,3,2000,550,7000,12,5,0.65,0
1147,41,0,55000,610,18000,36,1,0.5,0
1148,35,3,4000,450,1000,12,4,0.7,0
1149,30,3,4000,380,20000,30,4,0.7,0
1150,25,2,8000,570,3000,18,2,0.5,0
1151,61,3,12000,600,20000,48,5,0.78,0
1152,53,1,62000,630,30000,72,1,0.51,0
1153,61,1,190000,830,130000,120,0,0.1,1
1154,44,0,68000,650,25000,48,1,0.39,1
1155,62,1,170000,790,85000,96,3,0.14,1
1156,24,2,11000,530,2800,12,2,0.59,0
1157,24,2,18000,650,10000,48,2,0.55,0
1158,43,1,210000,820,80000,84,0,0.25,1
1159,49,1,220000,760,80000,72,0,0.38,1
1160,48,0,55000,640,16500,65,1,0.46,1
1161,27,0,48000,650,22000,60,1,0.43,0
1162,37,0,72000,640,25000,48,1,0.45,0
1163,61,3,8000,400,2000,12,4,0.7,0
